alpha	beta	ds	loss	scheme1	scheme2	topic
0.16	0.84	summary	264.400898557	lmj	dfr	1
0.99	0.01	summary	570.101201616	lmj	dfr	2
0.0	1.0	summary	57.7252855355	lmj	dfr	3
0.99	0.01	summary	245.301164413	lmj	dfr	4
0.99	0.01	summary	303.919227173	lmj	dfr	5
0.0	1.0	summary	345.202672073	lmj	dfr	6
0.45	0.55	summary	388.014166432	lmj	dfr	7
0.0	1.0	summary	365.33760759	lmj	dfr	8
0.0	1.0	summary	30.639713986	lmj	dfr	9
0.0	1.0	summary	43.2564028067	lmj	dfr	10
0.0	1.0	summary	234.973201894	lmj	dfr	11
0.99	0.01	summary	353.663680552	lmj	dfr	12
0.26	0.74	summary	250.143477529	lmj	dfr	13
0.0	1.0	summary	192.745599724	lmj	dfr	14
0.99	0.01	summary	248.65052265	lmj	dfr	15
0.99	0.01	summary	82.6141303865	lmj	dfr	16
0.0	1.0	summary	178.651695205	lmj	dfr	17
0.0	1.0	summary	277.341016161	lmj	dfr	18
0.99	0.01	summary	176.363915171	lmj	dfr	19
0.99	0.01	summary	351.916876999	lmj	dfr	20
0.97	0.03	summary	510.640211631	lmj	dfr	21
0.99	0.01	summary	116.367475025	lmj	dfr	22
0.99	0.01	summary	316.878160398	lmj	dfr	23
0.0	1.0	summary	137.491156399	lmj	dfr	24
0.53	0.47	summary	132.037751487	lmj	dfr	25
0.51	0.49	summary	272.017262592	lmj	dfr	26
0.0	1.0	summary	702.595884859	lmj	dfr	27
0.99	0.01	summary	141.725676653	lmj	dfr	28
0.51	0.49	summary	336.01467578	lmj	dfr	29
0.45	0.55	summary	336.016334611	lmj	dfr	30
