alpha	beta	ds	loss	scheme1	scheme2	topic
0.99	0.01	summary	263.337348494	lmd	dfr	1
0.99	0.01	summary	575.077976153	lmd	dfr	2
0.99	0.01	summary	57.6609897889	lmd	dfr	3
0.99	0.01	summary	241.321532225	lmd	dfr	4
0.0	1.0	summary	310.948317964	lmd	dfr	5
0.0	1.0	summary	348.202672073	lmd	dfr	6
0.51	0.49	summary	384.013409516	lmd	dfr	7
0.0	1.0	summary	360.33760759	lmd	dfr	8
0.0	1.0	summary	31.639713986	lmd	dfr	9
0.99	0.01	summary	46.1871185013	lmd	dfr	10
0.0	1.0	summary	233.973201894	lmd	dfr	11
0.99	0.01	summary	361.6725614	lmd	dfr	12
0.99	0.01	summary	254.113362519	lmd	dfr	13
0.0	1.0	summary	196.745599724	lmd	dfr	14
0.99	0.01	summary	250.655620436	lmd	dfr	15
0.99	0.01	summary	87.4929884345	lmd	dfr	16
0.0	1.0	summary	177.651695205	lmd	dfr	17
0.0	1.0	summary	273.341016161	lmd	dfr	18
0.0	1.0	summary	163.462615938	lmd	dfr	19
0.0	1.0	summary	362.927791831	lmd	dfr	20
0.0	1.0	summary	509.64395366	lmd	dfr	21
0.99	0.01	summary	112.365563902	lmd	dfr	22
0.47	0.53	summary	312.943459218	lmd	dfr	23
0.0	1.0	summary	140.491156399	lmd	dfr	24
0.53	0.47	summary	120.038064148	lmd	dfr	25
0.5	0.5	summary	256.017749806	lmd	dfr	26
0.99	0.01	summary	701.579351403	lmd	dfr	27
0.99	0.01	summary	147.797620561	lmd	dfr	28
0.49	0.51	summary	308.015888882	lmd	dfr	29
0.48	0.52	summary	348.015959105	lmd	dfr	30
