alpha	beta	ds	loss	scheme1	scheme2	topic
0.01	0.99	summary	15.26689837	lmj	bm25	1
0.01	0.99	summary	51.0054744643	lmj	bm25	2
0.99	0.01	summary	8.53229688837	lmj	bm25	3
0.99	0.01	summary	14.2675362838	lmj	bm25	4
0.99	0.01	summary	25.2612585535	lmj	bm25	5
0.99	0.01	summary	34.7583475007	lmj	bm25	6
0.01	0.99	summary	19.26423063	lmj	bm25	7
0.53	0.47	summary	38.7570370054	lmj	bm25	8
0.01	0.99	summary	1.1477604742	lmj	bm25	9
0.99	0.01	summary	4.80033884151	lmj	bm25	10
0.01	0.99	summary	19.0134550595	lmj	bm25	11
0.01	0.99	summary	25.0130930967	lmj	bm25	12
0.01	0.99	summary	21.2639787884	lmj	bm25	13
0.46	0.54	summary	30.2585110875	lmj	bm25	14
0.51	0.49	summary	17.7662840241	lmj	bm25	15
0.99	0.01	summary	6.05451322154	lmj	bm25	16
0.99	0.01	summary	12.0204958168	lmj	bm25	17
0.01	0.99	summary	15.2663701065	lmj	bm25	18
0.99	0.01	summary	18.0141616853	lmj	bm25	19
0.01	0.99	summary	27.5112030029	lmj	bm25	20
0.99	0.01	summary	33.0083428281	lmj	bm25	21
0.99	0.01	summary	9.02884206287	lmj	bm25	22
0.99	0.01	summary	24.2618048957	lmj	bm25	23
0.99	0.01	summary	17.0144377216	lmj	bm25	24
0.47	0.53	summary	6.04020838333	lmj	bm25	25
0.99	0.01	summary	12.7690293823	lmj	bm25	26
0.37	0.63	summary	89.5032385883	lmj	bm25	27
0.01	0.99	summary	9.28442828934	lmj	bm25	28
0.99	0.01	summary	16.0161048781	lmj	bm25	29
0.01	0.99	summary	16.7665036266	lmj	bm25	30
