abstract	body	pmcid	relevancy	title
0.19014327	0.19014327	3015800.0	2.0	0.19014327
0.16995482	0.16995482	3468117.0	1.0	0.16995482
0.038633537	0.038633537	1175911.0	2.0	0.038633537
0.1373922	0.1373922	2222677.0	1.0	0.1373922
0.14257832	0.14257832	2740109.0	2.0	0.14257832
0.17474632	0.17474632	3248865.0	1.0	0.17474632
0.16884696	0.16884696	3170179.0	2.0	0.16884696
0.10410158	0.10410158	3016176.0	1.0	0.10410158
0.051254574	0.051254574	137240.0	2.0	0.051254574
0.17917281	0.17917281	2475515.0	1.0	0.17917281
0.14143512	0.14143512	2667168.0	1.0	0.14143512
0.114651054	0.114651054	3861379.0	1.0	0.114651054
0.16044383	0.16044383	2907361.0	1.0	0.16044383
0.16339026	0.16339026	3493049.0	1.0	0.16339026
0.21409467	0.21409467	3336896.0	1.0	0.21409467
0.051471382	0.051471382	2206489.0	1.0	0.051471382
0.15346962	0.15346962	3015657.0	1.0	0.15346962
0.13582505	0.13582505	2783104.0	2.0	0.13582505
0.15943375	0.15943375	3195329.0	1.0	0.15943375
0.043641474	0.043641474	3327282.0	1.0	0.043641474
0.18727753	0.18727753	3492969.0	1.0	0.18727753
0.15595432	0.15595432	3435936.0	1.0	0.15595432
0.046836883	0.046836883	137237.0	1.0	0.046836883
0.21389708	0.21389708	3295742.0	1.0	0.21389708
0.22240236	0.22240236	3614379.0	2.0	0.22240236
0.115698725	0.115698725	1876232.0	1.0	0.115698725
0.1430706	0.1430706	3785339.0	1.0	0.1430706
0.13370173	0.13370173	2683798.0	2.0	0.13370173
0.21325612	0.21325612	3860647.0	2.0	0.21325612
0.16282062	0.16282062	2702950.0	1.0	0.16282062
0.11507067	0.11507067	2734531.0	1.0	0.11507067
0.074698016	0.074698016	3558709.0	1.0	0.074698016
0.12769064	0.12769064	3299142.0	1.0	0.12769064
0.17035721	0.17035721	2992067.0	1.0	0.17035721
0.18536223	0.18536223	3866073.0	1.0	0.18536223
0.17785922	0.17785922	2827072.0	1.0	0.17785922
0.13696429	0.13696429	3016124.0	1.0	0.13696429
0.14817548	0.14817548	3579987.0	1.0	0.14817548
0.18474872	0.18474872	3259121.0	2.0	0.18474872
0.16399673	0.16399673	3599178.0	1.0	0.16399673
0.16794041	0.16794041	3588206.0	1.0	0.16794041
0.16590208	0.16590208	3338082.0	1.0	0.16590208
0.16450626	0.16450626	2387157.0	1.0	0.16450626
0.175	0.175	29048.0	2.0	0.175
0.1657809	0.1657809	3797604.0	1.0	0.1657809
0.09501325	0.09501325	3132362.0	1.0	0.09501325
0.08368717	0.08368717	3178521.0	1.0	0.08368717
0.20598802	0.20598802	3389850.0	1.0	0.20598802
0.16158138	0.16158138	3355033.0	1.0	0.16158138
0.11913625	0.11913625	3015742.0	1.0	0.11913625
0.11108344	0.11108344	3132364.0	1.0	0.11108344
0.14688973	0.14688973	3542897.0	2.0	0.14688973
0.14180146	0.14180146	3015787.0	1.0	0.14180146
0.073572576	0.073572576	3649557.0	1.0	0.073572576
0.122943975	0.122943975	3096911.0	1.0	0.122943975
0.08704883	0.08704883	3097557.0	1.0	0.08704883
0.119758405	0.119758405	2887168.0	1.0	0.119758405
0.11877547	0.11877547	1065003.0	2.0	0.11877547
0.15854552	0.15854552	3300932.0	2.0	0.15854552
0.10963844	0.10963844	3813711.0	2.0	0.10963844
0.19929288	0.19929288	3877598.0	1.0	0.19929288
0.16163553	0.16163553	2822176.0	1.0	0.16163553
0.067806	0.067806	2151899.0	1.0	0.067806
0.18359786	0.18359786	3030803.0	1.0	0.18359786
0.12500352	0.12500352	3016809.0	1.0	0.12500352
0.068189606	0.068189606	3590203.0	1.0	0.068189606
0.14993797	0.14993797	2977075.0	2.0	0.14993797
0.10372108	0.10372108	2151863.0	1.0	0.10372108
0.16027649	0.16027649	3888001.0	1.0	0.16027649
0.12030667	0.12030667	3519039.0	1.0	0.12030667
0.17578273	0.17578273	3307080.0	1.0	0.17578273
0.13254613	0.13254613	3655517.0	1.0	0.13254613
